R001ex	1 C00089[e] <-
R01827[c]	1 C05382[c] + 1 C00118[c] <-> 1 C00279[c] + 1 C05345[c]
R01621[c]	1 C00231[c] + 1 C00009[c] <-> 1 C00227[c] + 1 C00118[c] + 1 C00001[c]
R01049[c]	1 C00002[c] + 1 C00117[c] <-> 1 C00020[c] + 1 C00119[c]
R01057[c]	1 C00620[c] <-> 1 C00117[c]
R06837[c]	1 C00620[c] <-> 1 C01151[c]
R06836[c]	1 C01151[c] + 1 C00002[c] <-> 1 C00119[c] + 1 C00008[c]
R01826[c]	1 C00074[c] + 1 C00279[c] + 1 C00001[c] <-> 1 C04691[c] + 1 C00009[c]
R03083[c]	1 C04691[c] <-> 1 C00944[c] + 1 C00009[c]
R10050[c]	1 C00546[c] + 1 C01094[c] <-> 1 C00577[c] + 1 C16848[c]
R08569[c]	1 C16850[c] + 1 C00001[c] + 1 C00003[c] <-> 1 C00944[c] + 1 C00014[c] + 1 C00004[c] + 1 C00080[c]
R02415[c]	1 C00493[c] + 1 C00113[c] <-> 1 C02637[c] + 1 C01359[c]
R02412[c]	1 C00002[c] + 1 C00493[c] <-> 1 C00008[c] + 1 C03175[c]
R03460[c]	1 C00074[c] + 1 C03175[c] <-> 1 C00009[c] + 1 C01269[c]
R01715[c]	1 C00251[c] <-> 1 C00254[c]
R00985[c]	1 C00251[c] + 1 C00014[c] <-> 1 C00108[c] + 1 C00022[c] + 1 C00001[c]
R01073[c]	1 C04302[c] + 1 C00013[c] <-> 1 C00108[c] + 1 C00119[c]
R03509[c]	1 C04302[c] <-> 1 C01302[c]
R02340[c]	1 C03506[c] <-> 1 C00463[c] + 1 C00118[c]
R00674[c]	1 C00065[c] + 1 C00463[c] <-> 1 C00078[c] + 1 C00001[c]
R00691[c]	1 C00826[c] <-> 1 C00079[c] + 1 C00001[c] + 1 C00011[c]
R00734[c]	1 C00082[c] + 1 C00026[c] <-> 1 C01179[c] + 1 C00025[c]
R01728[c]	1 C00254[c] + 1 C00003[c] <-> 1 C01179[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
R00009[c]	2 C00027[c] <-> 1 C00007[c] + 2 C00001[c]
R10929[c]	1 C00025[c] + 1 C19885[c] + 1 C00002[c] <-> 1 C20948[c] + 1 C00008[c] + 1 C00009[c]
R02649[c]	1 C00002[c] + 1 C00624[c] <-> 1 C00008[c] + 1 C04133[c]
R10931[c]	1 C20949[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C20950[c] + 1 C00006[c] + 1 C00009[c]
R02283[c]	1 C00437[c] + 1 C00026[c] <-> 1 C01250[c] + 1 C00025[c]
R10932[c]	1 C20950[c] + 1 C00025[c] <-> 1 C20951[c] + 1 C00026[c]
R10933[c]	1 C20951[c] + 1 C00001[c] <-> 1 C00077[c] + 1 C19885[c]
R00669[c]	1 C00437[c] + 1 C00001[c] <-> 1 C00033[c] + 1 C00077[c]
R02282[c]	1 C00437[c] + 1 C00025[c] <-> 1 C00077[c] + 1 C00624[c]
R07245[c]	1 C00169[c] + 1 C00437[c] <-> 1 C00009[c] + 1 C15532[c]
R01398[c]	1 C00169[c] + 1 C00077[c] <-> 1 C00009[c] + 1 C00327[c]
R01086[c]	1 C03406[c] <-> 1 C00122[c] + 1 C00062[c]
R00552[c]	1 C00062[c] + 1 C00001[c] <-> 1 C00327[c] + 1 C00014[c]
R00774[c]	1 C00002[c] + 1 C00086[c] + 1 C00288[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C01010[c]
R00005[c]	1 C01010[c] + 1 C00001[c] <-> 2 C00011[c] + 2 C00014[c]
R00271[c]	1 C00024[c] + 1 C00001[c] + 1 C00026[c] <-> 1 C01251[c] + 1 C00010[c]
R03444[c]	1 C01251[c] <-> 1 C04002[c] + 1 C00001[c]
R04371[c]	1 C05662[c] <-> 1 C04002[c] + 1 C00001[c]
R01934[c]	1 C05662[c] + 1 C00003[c] <-> 1 C00322[c] + 1 C00011[c] + 1 C00004[c] + 1 C00080[c]
R09777[c]	1 C19887[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C19888[c] + 1 C00006[c] + 1 C00009[c]
R09779[c]	1 C19889[c] + 1 C00001[c] <-> 1 C00047[c] + 1 C19885[c]
R00480[c]	1 C00002[c] + 1 C00049[c] <-> 1 C00008[c] + 1 C03082[c]
R10147[c]	1 C00441[c] + 1 C00022[c] <-> 1 C20258[c] + 1 C00001[c]
R04198[c]	1 C03972[c] + 1 C00003[c] + 1 C00001[c] <-> 1 C20258[c] + 1 C00004[c] + 1 C00080[c]
R04364[c]	1 C03972[c] + 1 C00024[c] + 1 C00001[c] <-> 1 C05539[c] + 1 C00010[c]
R04467[c]	1 C04390[c] + 1 C00026[c] <-> 1 C05539[c] + 1 C00025[c]
R02733[c]	1 C04390[c] + 1 C00001[c] <-> 1 C00033[c] + 1 C00666[c]
R04475[c]	1 C04421[c] + 1 C00026[c] <-> 1 C04462[c] + 1 C00025[c]
R02734[c]	1 C04421[c] + 1 C00001[c] <-> 1 C00042[c] + 1 C00666[c]
R02735[c]	1 C00666[c] <-> 1 C00680[c]
R00451[c]	1 C00680[c] <-> 1 C00047[c] + 1 C00011[c]
R03898[c]	1 C02226[c] + 1 C00001[c] <-> 1 C06032[c]
R00226[c]	1 C06010[c] + 1 C00011[c] <-> 2 C00022[c]
R05069[c]	1 C06006[c] <-> 1 C14463[c]
R04440[c]	1 C04272[c] + 1 C00006[c] <-> 1 C04181[c] + 1 C00005[c] + 1 C00080[c]
R05070[c]	1 C06007[c] <-> 1 C00671[c] + 1 C00001[c]
R02199[c]	1 C00407[c] + 1 C00026[c] <-> 1 C00671[c] + 1 C00025[c]
R01213[c]	1 C02504[c] + 1 C00010[c] <-> 1 C00024[c] + 1 C00141[c] + 1 C00001[c]
R04426[c]	1 C04411[c] + 1 C00003[c] <-> 1 C04236[c] + 1 C00004[c] + 1 C00080[c]
R01652[c]	1 C00233[c] + 1 C00011[c] <-> 1 C04236[c]
R01090[c]	1 C00123[c] + 1 C00026[c] <-> 1 C00233[c] + 1 C00025[c]
R00945[c]	1 C00143[c] + 1 C00037[c] + 1 C00001[c] <-> 1 C00101[c] + 1 C00065[c]
R04125[c]	1 C01242[c] + 1 C00101[c] <-> 1 C02972[c] + 1 C00143[c] + 1 C00014[c]
R00751[c]	1 C00188[c] <-> 1 C00037[c] + 1 C00084[c]
R04173[c]	1 C01005[c] + 1 C00026[c] <-> 1 C03232[c] + 1 C00025[c]
R01388[c]	1 C00258[c] + 1 C00003[c] <-> 1 C00168[c] + 1 C00004[c] + 1 C00080[c]
R00588[c]	1 C00065[c] + 1 C00048[c] <-> 1 C00168[c] + 1 C00037[c]
R02291[c]	1 C00441[c] + 1 C00009[c] + 1 C00006[c] <-> 1 C03082[c] + 1 C00005[c] + 1 C00080[c]
